Responce,Driver,NumDF,DenDF,F value,Pr(>F),Rsq
biomass,MowFreq:Month,6,130.8163029223616,3.537384133255877,0.002810402430695599,0.14566841782841639
biomass,scale(n_mow_events_befre_sampling),1,136.0284323690006,7.268755604294301,0.007902950705422058,0.058862613687442694
biomass,scale(Litter_Cover),1,77.20538276808317,3.511002672394184,0.06474637158569356,0.03272516677259101
biomass,scale(road_density_km_per_ha),1,12.811530976738975,10.960679747467205,0.005732022758366925,0.12116576759625025
biomass,Bare_Ground_Cover,1,56.27930531177029,0.19732399234526837,0.6585930104157917,0.001983761169696306
biomass,scale(slope_degr),1,31.26017479291294,0.11033498987561675,0.7419801448999159,0.00121352030712952
biomass,scale(dist_tree),1,12.94223501259714,3.851517964372768,0.07156472494387014,0.04678009132333398
biomass,scale(sky_view_factor),1,10.634337896521961,0.5578236273766177,0.4713290114049207,0.0073210237926493
biomass,scale(Biotop_richness_specific),1,11.182579772444747,5.149295207788959,0.04400169296461096,0.06318670481449691
biomass,log1p(green_cover_pct),1,10.452428005984496,4.292722892499688,0.06388170008825168,0.05399575860397452
