Responce,Driver,NumDF,DenDF,F value,Pr(>F),Rsq
FRic,MowFreq:Month,6,129.2417294960058,1.9483884467414063,0.07779747922711915,0.07851402923879655
FRic,scale(n_mow_events_befre_sampling),1,137.62208164795035,0.811329343066933,0.36930106103399274,0.006637894310050804
FRic,scale(Litter_Cover),1,129.97627137888128,0.09417887347456354,0.7594214318448785,0.0010045815796083442
FRic,scale(road_density_km_per_ha),1,13.363451849272115,0.4467647853647331,0.5152553237113056,0.012332682106249899
FRic,Bare_Ground_Cover,1,115.44091356823911,9.502627041349019,0.002566551732680381,0.10201802753977449
FRic,scale(slope_degr),1,81.77592229062728,1.741315236884579,0.1906547861019178,0.025548889277936963
FRic,scale(dist_tree),1,20.065615771963653,1.2279894873783757,0.2809050528204774,0.030985187804620486
FRic,scale(sky_view_factor),1,12.002779065431218,0.5487784218072651,0.47306130364609833,0.016992533031068766
FRic,scale(Biotop_richness_specific),1,13.888588889186787,1.0138369851473792,0.33120657966189615,0.029349221635522015
FRic,log1p(green_cover_pct),1,12.146956869509493,0.049123280509406834,0.82827826500938,0.0015560846760648782
