Responce,Driver,NumDF,DenDF,F value,Pr(>F),Rsq
phen_Richness,MowFreq:Month,6,129.332996227411,4.6121205389098945,2.8103043306850785e-4,0.16995042250338258
phen_Richness,scale(n_mow_events_befre_sampling),1,137.96433598067892,4.599923369874067,0.03372526272614391,0.036692963421047595
phen_Richness,scale(Litter_Cover),1,127.52063659036354,1.885538889421682,0.1721156105053598,0.019681360648165717
phen_Richness,scale(road_density_km_per_ha),1,13.316617683134837,0.0880752529489954,0.7712168702213553,0.0023043987402368315
phen_Richness,Bare_Ground_Cover,1,111.40956191726052,0.011617015676802069,0.9143622809470413,1.378968470586232e-4
phen_Richness,scale(slope_degr),1,76.4620305615319,2.6432252146312463,0.1081071357004715,0.03770314052832635
phen_Richness,scale(dist_tree),1,19.20897260701768,0.1238435310931712,0.7287338568969226,0.003056559767358283
phen_Richness,scale(sky_view_factor),1,11.896419966807947,2.742440144583156,0.12383389660921235,0.07468791109587762
phen_Richness,scale(Biotop_richness_specific),1,13.638671668329824,1.3101147014887533,0.2720642502571303,0.03540438807454915
phen_Richness,log1p(green_cover_pct),1,12.011602328676448,0.2614409937265027,0.6184002868301672,0.007693861520095492
